Herb,Mechanism of Action,Pharmacokinetics,Therapeutic Uses,Side Effects,Contraindications,Drug Interactions,Toxicity / LD50,Image
Acorus Calamus,Contains β-asarone; GABA modulation and mild stimulant effects.,Oral or chewed; onset 30–60 min; duration 2–6 hours.,"Mental clarity, digestion, dream induction.","Nausea, dizziness, carcinogenicity risk (β-asarone).","Pregnancy, seizure disorders, cancer risk.","Sedatives, CNS depressants.",Carcinogenic in rodents at high doses.,./images/acorus_calamus.png
African Dream Root,May stimulate cholinergic systems; used traditionally to enhance dreams.,Chewed or infused; onset hours; dream-phase activation.,"Lucid dreaming, spiritual insight.","Vivid dreams, rare nausea.","Pregnancy, epilepsy.","Sedatives, cholinergics.",Low; safe in traditional use.,./images/african_dream_root.png
Ashwagandha,"Modulates cortisol, GABAergic and serotonergic systems.",Oral; onset ~1–2 hrs (chronic benefits build over weeks).,"Stress, anxiety, strength, sleep support.","GI upset, drowsiness.","Pregnancy, thyroid issues.","Sedatives, thyroid meds.",LD50 >2 g/kg (rats).,./images/ashwagandha.png
Ayahuasca,MAOIs + DMT activate serotonergic and hallucinogenic pathways.,Oral brew; onset ~30–60 min; duration ~4–6 hrs.,"Psychedelic therapy, depression, trauma.","Nausea, intense hallucinations.","SSRIs, bipolar disorder.","MAOIs, antidepressants.",Varies; psychological risks high.,./images/ayahuasca.png
Bacopa,Enhances cholinergic transmission; antioxidant and neuroprotective.,Oral (capsules or tea); onset weeks (cumulative); acute onset ~60–90 min.,"Memory, anxiety reduction, learning.","GI discomfort, fatigue (rare).","Ulcers, thyroid conditions.","Thyroid meds, sedatives.",LD50 >2000 mg/kg (rats).,./images/bacopa.png
Baybean,Contains alkaloids with mild psychoactive potential; unclear exact MOA.,Smoked; onset within minutes; short duration.,Traditional smoking blend; relaxation.,Rare; may cause mild nausea or dizziness.,Pregnancy; limited safety data.,Unknown due to lack of research.,Very limited data; considered safe traditionally.,./images/baybean.png
Betel Nut,Arecoline stimulates muscarinic acetylcholine receptors; mild stimulant.,Chewed; onset ~10–20 min; duration ~2–3 hours.,"Stimulation, digestion aid, euphoria.","Addiction, mouth ulcers, carcinogenicity with chronic use.","Pregnancy, heart conditions, oral cancer risk.","Stimulants, MAOIs.",Moderate; chronic use increases cancer risk.,./images/betel_nut.png
Blue Lotus,Modulates dopamine and serotonin; acts as mild sedative and euphoriant.,Smoked or steeped; onset 20–40 min; duration 2–4 hours.,"Relaxation, sleep aid, aphrodisiac.","Mild sedation, dizziness.","Pregnancy, use with sedatives.","CNS depressants, alcohol.",Low; historically used safely.,./images/blue_lotus.png
Boldo,Contains boldine; acts as antioxidant and cholagogue.,Oral tea or extract; onset ~30–60 min; duration ~3–5 hours.,"Digestive support, liver detoxification, mild sedative.","Nausea, allergic reactions.","Bile duct obstruction, pregnancy.","Anticoagulants, hepatotoxic drugs.","Boldine LD50 ~500 mg/kg (rat, oral).",./images/boldo.png
Calamus,Contains β-asarone; possible GABAergic and serotonergic effects.,Chewed or brewed; onset 30–60 min; duration several hours.,"Mental clarity, digestion, mild psychoactivity.","Nausea, potential carcinogenicity (β-asarone).","Pregnancy, cancer risk, seizures.","CNS depressants, anticoagulants.",Animal studies show carcinogenicity at high doses.,./images/calamus.png
