Herb,Category,Effects,Preparation,Intensity,Onset,Legal Status,Region,Tags,Mechanism of Action,Pharmacokinetics,Therapeutic Uses,Side Effects,Contraindications,Drug Interactions,Toxicity,Toxicity / LD50
Eleutherococcus senticosus (Siberian Ginseng),Empathogen / Euphoriant,"Balanced energy, mood resilience",Tea Or Extract,Mild,30-60 Min,Legal / Unregulated,🇨🇳 East Asia," Brewable,,, Euphoria,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bacopa monnieri,Empathogen / Euphoriant,"Memory enhancer, mild calming","Tea, Capsule",Mild,30-60 Min,Legal / Unregulated,🇮🇳 India," Brewable,,, Oral,,, Euphoria,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Withania somnifera (Ashwagandha),Dissociative / Sedative,"Grounded calm, dream support",Tea Or Capsule,Mild,30-60 Min,Legal / Unregulated,🇮🇳 India," Brewable,,, Oral,,, Dissociation,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Rhodiola rosea,Empathogen / Euphoriant,"Focus, reduced fatigue, mind clarity","Capsule, Tincture",Mild,30-60 Min,Legal / Unregulated,🌎 Unknown / Global," Oral,,, Euphoria,,, Cognitive,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ocimum sanctum (Holy Basil / Tulsi),Empathogen / Euphoriant,"Mood lift, sacred calm, spiritual focus",Tea Or Incense,Mild,15-30 Min,Legal / Unregulated,🇮🇳 India," Brewable,,,️ Ritual,,, Euphoria,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Melissa officinalis (Lemon balm),Dissociative / Sedative,"Anxiolytic, cognitive calming","Tea, Tincture, Or Smoke",Mild,15-30 Min,Legal / Unregulated,🌎 Unknown / Global,"️ Smokable,, Brewable,,, Dissociation,,, Cognitive,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Tilia europaea (Linden flower),Dissociative / Sedative,"Calming, relaxing, mild dream aid",Tea,Mild,15-30 Min,Legal / Unregulated,🇪🇺 Europe," Brewable,,, Dissociation,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Argyreia nervosa (Hawaiian Baby Woodrose),Ethnobotanical / Rare,"Visionary, sedative, nausea-prone",Cold Water Seed Infusion,High,30-90 Min,Restricted In Some Countries,🌎 Unknown / Global,️ Restricted,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ipomoea tricolor (Heavenly Blue),Ethnobotanical / Rare,"LSD-like visuals, spiritual confusion",Seeds Ground And Cold Infused,High,30-90 Min,Restricted In Some Countries,🌎 Unknown / Global,️ Restricted,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Rivea corymbosa,Ethnobotanical / Rare,"Dreamy visuals, nausea, traditional Mazatec use",Seeds Ground And Cold Infused,High,30-90 Min,Restricted In Some Countries,🌎 Unknown / Global,️ Restricted,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Eschscholzia californica (California poppy),Dissociative / Sedative,"Sleep aid, mild dreamlike calm","Tea, Tincture",Mild,15-45 Min,Legal / Unregulated,🌎 Unknown / Global," Brewable,,, Dissociation,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Piper auritum (Root beer plant),Empathogen / Euphoriant,"Calming, warming, euphoric",Tea Or Culinary Use,Mild,15-30 Min,Legal / Unregulated,🌎 Unknown / Global," Brewable,,, Euphoria,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Viola odorata (Sweet violet),Dissociative / Sedative,"Mild sedative, calming, gentle dreaminess",Tea Or Syrup,Mild,15-30 Min,Legal / Unregulated,🇪🇺 Europe," Brewable,,, Dissociation,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Justicia pectoralis,Empathogen / Euphoriant,"Aromatic, mild euphoria, anti-anxiety",Smoked Or Brewed,Mild,15-30 Min,Legal / Unregulated,🌎 Unknown / Global,"️ Smokable,, Brewable,,, Euphoria,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Artemisia vulgaris (Mugwort),Oneirogen,"Lucid dreaming, light hallucinations","Smoke, Tea, Or Ritual Incense",Mild,5-15 Min,Legal / Unregulated,🇪🇺 Europe,"️ Smokable,, Brewable,,,️ Ritual,,  Dream,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Artemisia absinthium (Wormwood),Ritual / Visionary,"Trance states, dream-like visuals",Tea Or Smoke,Moderate,15-45 Min,"Legal, Thujone Regulated",🇪🇺 Europe,"️ Smokable,, Brewable,,, Ritual,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Lactuca canadensis,Dissociative / Sedative,"Wild lettuce relative, opium-like calm",Tea Or Smoke,Mild,15-45 Min,Legal / Unregulated,🌎 Unknown / Global,"️ Smokable,, Brewable,,, Dissociation,,, Sedation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Pedicularis groenlandica,Dissociative / Sedative,"Stronger relaxation, tension relief",Smoked Or Tea,Moderate,5-15 Min,Legal / Unregulated,🌍 Africa,"️ Smokable,, Brewable,,, Dissociation,,, Safe",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
