Herb,Category,Effects,Preparation,Intensity,Onset,Legal Status,Region,Tags,Mechanism of Action,Pharmacokinetics,Therapeutic Uses,Side Effects,Contraindications,Drug Interactions,Toxicity,Toxicity / LD50
Calea zacatechichi,Oneirogen,"Vivid/lucid dreams, dream recall",Bitter tea or smoke,Mild,1-5 min,Legal / Unregulated,🇲🇽 Latin America,"🌬️ Smokable, ☕ Brewable, 🧠 Dream, ✅ Safe","Effects attributed to flavones and germacrolides modulating cholinergic and possibly serotonergic pathways, enhancing dream-related neurochemistry [0, 1, 0, 11].","Consumed as bitter tea or smoked: onset 20–45 min; duration ~2–3 h; likely metabolized hepatically [0, 1, 0, 21].","Traditional Mexican use for dream enhancement, divination, and improvement of dream recall [0, 6].","Bitter taste, nausea, vomiting; mild sedation [0, 6].","Avoid during pregnancy and combine cautiously with sedatives [0, 16].","Potentiates CNS depressants [0, 21].","Low reported toxicity; high doses may cause dizziness or vomiting [0, 16].",
Silene capensis,Oneirogen,"Deep dreaming, ancestor contact",Cold water root brew,Mild,15-45 min,Legal / Unregulated,🌍 Africa,"☕ Brewable, 🧠 Dream, ✅ Safe","Contains triterpene saponins, alkaloids, and diterpenoids that may modulate cholinergic and GABAergic activity, enhancing REM sleep and dream vividness [0, 2, 0, 22].","Traditionally consumed as cold water infusion: onset ~30–60 min; effects last several hours [0, 7].","Promotes vivid and lucid dreaming; used in traditional Xhosa dream rituals [0, 2, 0, 7].","Rare; mild gastrointestinal upset and drowsiness in high amounts [0, 2].","Pregnancy and use with CNS depressants [0, 12].","May potentiate sedative effects of other herbs or medications [0, 22].","Low; no significant toxicity reported in traditional use [0, 2].",
Entada rheedii,Oneirogen,"Dream enhancement, trance",Seed powder or chew,Moderate,30-60 min,Legal / Unregulated,🇲🇽 Latin America,"💊 Oral, 🧠 Dream, ✅ Safe",,"Traditionally consumed as cold water infusion; onset ~1–2 h; effects last ~6–8 h [0, 11].","Dream enhancement, lucid dreaming, traditional remedy for diarrhea and stomach aches [0, 6, 0, 11].","Mild GI upset, drowsiness; rare nausea [0, 6].","Pregnancy, lactation, hypersensitivity [0, 6].","May potentiate CNS depressants; caution with anticholinergics [0, 6].","Low; no severe toxicity reported in traditional use [0, 6].",
Mugwort,Oneirogen,"Lucid dreams, astral travel","Tea, smoke, or pillow herb",Mild,1-5 min,Legal / Unregulated,🇪🇺 Europe,"🌬️ Smokable, ☕ Brewable, 🧠 Dream, ✅ Safe","Contains thujone, a GABAA antagonist; may also modulate cholinergic systems [9, 9].","Smoked or tea; onset 20–40 min; duration ~1–2 h [9, 9].","Lucid dreaming, digestive support, menstrual aid [9, 9].","Headache, nausea, dizziness; risk in pregnancy and seizure disorders [9, 9].","Pregnancy, allergies to ragweed, epilepsy [9, 9].","Avoid with CNS depressants and anticonvulsants [9, 9].",Contains thujone and other essential oils that are toxic in high doses.,Thujone LD50 ~87–120 mg/kg in mice; caution advised at high doses or chronic use.
Heimia salicifolia (Sinicuichi),Dissociative / Sedative,"Auditory hallucinations, slowed time",Fermented sun tea,Moderate,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 🧪 Fermented, 🌀 Dissociation, ✅ Safe","Alkaloids may affect auditory processing and blood flow, potentially modulating neurotransmission [9, 4].","Traditionally fermented sun tea; slow onset 15–45 min; duration ~2–3 h [9, 4].","Divination, auditory changes, euphoria in folk practices [9, 4].","Dry mouth, muscle relaxation, altered hearing [9, 4].","Avoid with alcohol or CNS depressants, pregnancy [9, 4].","None known; caution with psychiatric medications [9, 4].","Low toxicity; high doses may cause mild sedation or nausea [9, 4].",Not well established; no fatal doses reported in traditional use.
Sceletium tortuosum (Kanna),Empathogen / Euphoriant,"Mood lift, empathy, sociability","Chew, snuff, extract",Moderate,30-60 min,"Legal, sometimes restricted",🌎 Unknown / Global,"💊 Oral, 💫 Euphoria, ⚠️ Restricted","Selective serotonin reuptake inhibition (SSRI) and phosphodiesterase-4 (PDE4) inhibition [9, 4].","Oral onset 20–60 min; duration 2–4 h [9, 4].","Mood enhancement, anti-anxiety, social facilitation [9, 4].","Headache, nausea, mild sedation [9, 4].","Do not combine with other serotonergic substances; pregnancy [9, 4].","SSRIs, MAOIs, stimulants [9, 4].","Low toxicity at traditional doses [9, 4].",Not established in humans; high safety margin observed in animal studies.
Blue Lotus (Nymphaea caerulea),Other,"Euphoria, aphrodisiac, dreamy calm","Wine soak, smoke, tea",Mild,1-5 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable, ☕ Brewable, 🧘 Sedation, ✅ Safe",Contains aporphine and nuciferine; dopamine receptor modulation and mild sedative effect.,Smoked or soaked in wine; onset rapid (5–20 min); duration ~1–3 hrs.,"Mild euphoria, anxiety relief, and aphrodisiac in traditional use.","Drowsiness, mild dizziness at high doses.","Pregnancy, avoid with dopaminergic drugs.",Potential additive effects with CNS depressants.,Low toxicity; no serious effects reported from traditional use.,Not established; no reported lethal doses.
Wild Dagga,Empathogen / Euphoriant,"Cannabis-like buzz, mild euphoria",Smoke or extract,Moderate,1-5 min,Legal / Unregulated,🌍 Africa,"🌬️ Smokable, 💫 Euphoria, ✅ Safe","Contains labdane diterpenes such as leonurine and marrubiin; marrubiin modulates prostaglandin synthesis and exhibits anti-inflammatory and analgesic effects, while leonurine exhibits cardioprotective and neuroprotective properties [0, 4, 0, 0].","Leaf extracts via oral ingestion or smoking: rapid onset (5–10 min); marrubiin peak plasma ~1–2 h; metabolites excreted renally [0, 1].","Traditional analgesic, anti-inflammatory, antidiabetic, anxiolytic, pulmonary tonic; used for coughs, fevers, diabetes, hypertension [0, 7].","Dizziness, hypotension, gastrointestinal upset at high doses; potential hepatotoxicity with chronic use [0, 5, 0, 8].","Pregnancy, hypotension, use with diabetic or antihypertensive medications [0, 5].","Additive hypotensive and antidiabetic effects; caution when combined with antihypertensives and antidiabetic agents [0, 5].","Animal acute toxicity at 3200 mg/kg caused mortality; high doses alter hematological parameters [0, 5].","Animal acute toxicity at 3200 mg/kg caused mortality; high doses alter hematological parameters [0, 5]."
Damiana,Empathogen / Euphoriant,"Aphrodisiac, relaxing, mood lifting",Tea or smoke,Mild,1-5 min,"Legal, banned in some countries",🇲🇽 Latin America,"🌬️ Smokable, ☕ Brewable, 💫 Euphoria, ✅ Safe",Mild MAOI activity and possible CB1 receptor modulation.,Oral ingestion as tea or extract: onset ~30–60 min; detailed kinetic data limited.,"Aphrodisiac, mood enhancer, anxiolytic, gastrointestinal tonic; used in liqueurs and smoking blends for mild psychoactive effects [1, 10, 1, 7].","None significant reported; excessive doses may cause insomnia or headache [1, 5].","Pregnancy and lactation due to insufficient safety data; avoid in individuals sensitive to caffeine [1, 5].","Potential additive effects with sedatives and stimulants; caution with hypoglycemic and hypotensive medications [1, 7].","Low; no lethal toxicity reported at traditional doses [1, 5].",No established LD50; considered non-toxic in traditional use.
Nelumbo nucifera (Sacred Lotus),Other,"Spiritual clarity, calming euphoria","Tea, tincture, smoke",Mild,1-5 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable, ☕ Brewable, 🧠 Cognitive, 🧘 Sedation, ✅ Safe",,"Oral leaf extracts: peak plasma levels of nucleiferine and n-nornuciferine ~1–2 h; compounds cross blood–brain barrier and are renally excreted [2, 7].","Hyperlipidemia, weight management, antidiabetic, anti-inflammatory, insomnia aid, cardiovascular and pulmonary support [2, 0, 2, 5].","Generally well tolerated; high doses may cause gastrointestinal upset and sedation [2, 4].","Pregnancy and lactation due to limited safety data; monitor blood sugar in diabetics [2, 2].","May potentiate hypoglycemic agents and anticoagulants; use caution when coadministered [2, 2].","Low; rodent LD50 for nuciferine > 1000 mg/kg; minimal toxicity at dietary doses [2, 7].",
