Herb,Category,Effects,Preparation,Intensity,Onset,Legal Status,Region,Tags,Mechanism of Action,Pharmacokinetics,Therapeutic Uses,Side Effects,Contraindications,Drug Interactions,Toxicity,Toxicity / LD50
Calea zacatechichi,Oneirogen,"Vivid/lucid dreams, dream recall",Bitter tea or smoke,Mild,1-5 min,Legal / Unregulated,🇲🇽 Latin America,"🌬️ Smokable,☕ Brewable, 🧠 Dream,✅ Safe",,,,,,,,Not Available
Silene capensis,Oneirogen,"Deep dreaming, ancestor contact",Cold water root brew,Mild,15-45 min,Legal / Unregulated,🌍 Africa,"☕ Brewable, 🧠 Dream,✅ Safe",,,,,,,,Not Available
Entada rheedii,Oneirogen,"Dream enhancement, trance",Seed powder or chew,Moderate,30-60 min,Legal / Unregulated,🇲🇽 Latin America,"💊 Oral, 🧠 Dream,✅ Safe",Not Available,,,,,,,Not Available
Mugwort,Oneirogen,"Lucid dreams, astral travel","Tea, smoke, or pillow herb",Mild,1-5 min,Legal / Unregulated,🇪🇺 Europe,"🌬️ Smokable,☕ Brewable, 🧠 Dream,✅ Safe",,,,,,,,Not Available
Heimia salicifolia (Sinicuichi),Dissociative / Sedative,"Auditory hallucinations, slowed time",Fermented sun tea,Moderate,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable,🧪 Fermented,🌀 Dissociation,✅ Safe",,,,,,,,Not Available
Sceletium tortuosum (Kanna),Empathogen / Euphoriant,"Mood lift, empathy, sociability","Chew, snuff, extract",Moderate,30-60 min,"Legal, sometimes restricted",🌎 Unknown / Global,"💊 Oral,💫 Euphoria,⚠️ Restricted",,,,,,,,Not Available
Blue Lotus (Nymphaea caerulea),Other,"Euphoria, aphrodisiac, dreamy calm","Wine soak, smoke, tea",Mild,1-5 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable,☕ Brewable,🧘 Sedation,✅ Safe",Not Available,"Onset 30–60 min, oral or alcoholic extract. Mild duration (~2–3 hours).","Relaxation, aphrodisiac, mild euphoria, sleep aid.","Drowsiness, dizziness, dry mouth.","Avoid with MAOIs, sedatives, or alcohol.",May potentiate CNS depressants.,Low; very high doses can cause nausea and vomiting.,Not Available
Wild Dagga,Empathogen / Euphoriant,"Cannabis-like buzz, mild euphoria",Smoke or extract,Moderate,1-5 min,Legal / Unregulated,🌍 Africa,"🌬️ Smokable,💫 Euphoria,✅ Safe",,,,,,,,
Damiana,Empathogen / Euphoriant,"Aphrodisiac, relaxing, mood lifting",Tea or smoke,Mild,1-5 min,"Legal, banned in some countries",🇲🇽 Latin America,"🌬️ Smokable,☕ Brewable,💫 Euphoria,✅ Safe",Not Available,,,,,,,Not Available
Nelumbo nucifera (Sacred Lotus),Other,"Spiritual clarity, calming euphoria","Tea, tincture, smoke",Mild,1-5 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable,☕ Brewable,🧠 Cognitive,🧘 Sedation,✅ Safe",Not Available,,,,,,,Not Available
Salvia divinorum,Dissociative / Sedative,"Total dissociation, entity contact","Smoked, intense, short duration",High,1-5 min,Restricted in many regions,🇲🇽 Latin America,"🌬️ Smokable,🌀 Dissociation,⚠️ Restricted",Not Available,,,,,,,Not Available
Wild Lettuce,Dissociative / Sedative,"Opium-like body high, sedation",Smoke or extract,Moderate,1-5 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable,🌀 Dissociation,✅ Safe",,,,,,,,Not Available
Valerian Root,Dissociative / Sedative,"Deep sedation, dream fog",Tea or tincture,Mild,15-45 min,Legal / Unregulated,🇪🇺 Europe,"☕ Brewable,🌀 Dissociation,✅ Safe",Not Available,,,,,,,Not Available
